encoder_seed,head,parent,n_quartets,S,J_star,J,J_head_dev
raw_clean_s11,mlp_static,315,1,1.0,0.0,0.0,0.0
raw_clean_s11,mlp_static,325,2,0.5,0.0,0.0,0.0
raw_clean_s11,mlp_static,326,1,0.0,0.0,0.0,0.0
raw_clean_s11,mlp_static,330,2,0.5,0.0,0.0,0.0
raw_clean_s11,mlp_static,331,6,0.8333333333333334,0.0,0.0,0.0
raw_clean_s11,mlp_static,335,3,1.0,0.0,0.0,0.6666666666666666
raw_clean_s11,mlp_static,336,1,0.0,0.0,0.0,0.0
raw_clean_s11,mlp_static,340,1,0.0,0.0,0.0,0.0
raw_clean_s11,mlp_static,342,1,1.0,0.0,0.0,0.0
raw_clean_s11,mlp_static,343,1,1.0,0.0,0.0,0.0
raw_clean_s11,mlp_static,354,6,0.8333333333333334,0.0,0.0,0.0
raw_clean_s11,mlp_static,357,1,1.0,0.0,0.0,0.0
raw_clean_s11,mlp_static,362,3,1.0,0.0,0.0,0.0
raw_clean_s11,mlp_static,363,1,0.0,0.0,0.0,0.0
raw_clean_s11,mlp_static,370,2,1.0,0.0,0.0,0.0
raw_clean_s11,mlp_static,372,3,0.3333333333333333,0.0,0.0,0.0
raw_clean_s11,mlp_static,376,1,0.0,0.0,0.0,0.0
raw_clean_s11,mlp_static,380,3,1.0,0.0,0.0,0.0
raw_clean_s11,mlp_static,399,3,1.0,0.6666666666666666,0.0,0.0
raw_clean_s11,mlp_static,400,6,0.3333333333333333,0.16666666666666666,0.0,0.0
raw_clean_s11,mlp_static,418,2,1.0,0.0,0.0,0.0
raw_clean_s11,mlp_static,419,1,0.0,0.0,0.0,0.0
raw_clean_s11,mlp_static,422,1,0.0,0.0,0.0,0.0
raw_clean_s11,mlp_static,427,1,0.0,0.0,0.0,0.0
raw_clean_s11,mlp_static,433,3,0.0,0.0,0.0,0.0
raw_clean_s11,mlp_static,437,1,0.0,0.0,0.0,0.0
raw_clean_s11,mlp_static,443,1,1.0,0.0,0.0,0.0
raw_clean_s11,mlp_static,444,6,0.0,0.0,0.0,0.0
raw_clean_s11,mlp_static,455,2,0.0,0.0,0.0,0.0
raw_clean_s11,mlp_static,457,3,0.0,0.0,0.0,0.0
raw_clean_s11,mlp_static,463,1,0.0,0.0,0.0,0.0
raw_clean_s11,mlp_static,469,3,0.6666666666666666,0.0,0.0,0.0
raw_clean_s11,mlp_static,484,2,0.5,0.0,0.0,0.0
raw_clean_s11,mlp_static,485,2,1.0,1.0,0.0,0.0
raw_clean_s11,mlp_static,489,1,0.0,0.0,0.0,0.0
raw_clean_s11,mlp_static,491,1,1.0,0.0,0.0,0.0
raw_clean_s11,mlp_static,493,6,1.0,0.8333333333333334,0.0,0.0
raw_clean_s11,mlp_static,502,3,1.0,0.0,0.3333333333333333,1.0
raw_clean_s11,logistic_flip,1,1,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_flip,10,1,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_flip,13,1,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_flip,15,5,0.8,0.0,0.0,0.0
raw_clean_s11,logistic_flip,16,4,0.25,0.25,0.0,0.0
raw_clean_s11,logistic_flip,35,1,0.0,0.0,0.0,0.0
raw_clean_s11,logistic_flip,37,1,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_flip,39,1,0.0,0.0,0.0,0.0
raw_clean_s11,logistic_flip,49,1,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_flip,53,1,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_flip,55,2,1.0,0.0,1.0,1.0
raw_clean_s11,logistic_flip,66,1,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_flip,81,3,1.0,0.6666666666666666,0.0,0.0
raw_clean_s11,logistic_flip,82,4,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_flip,84,8,0.25,0.0,0.0,0.0
raw_clean_s11,logistic_flip,87,1,0.0,0.0,0.0,0.0
raw_clean_s11,logistic_flip,90,10,1.0,0.6,0.0,0.0
raw_clean_s11,logistic_flip,96,2,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_flip,98,2,0.5,0.0,0.0,0.0
raw_clean_s11,logistic_flip,99,1,0.0,0.0,0.0,0.0
raw_clean_s11,logistic_flip,100,3,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_flip,102,2,0.0,0.0,0.0,0.0
raw_clean_s11,logistic_flip,105,1,0.0,0.0,0.0,0.0
raw_clean_s11,logistic_flip,106,1,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_flip,107,6,0.16666666666666666,0.0,0.0,0.16666666666666666
raw_clean_s11,logistic_flip,109,1,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_flip,115,1,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_flip,117,1,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_flip,125,1,0.0,0.0,0.0,0.0
raw_clean_s11,logistic_flip,126,3,0.0,0.0,0.0,0.0
raw_clean_s11,logistic_flip,134,1,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_flip,135,1,0.0,0.0,0.0,0.0
raw_clean_s11,logistic_flip,136,4,0.0,0.0,0.0,0.0
raw_clean_s11,logistic_flip,140,1,0.0,0.0,0.0,0.0
raw_clean_s11,logistic_flip,145,1,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_flip,147,1,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_flip,149,1,1.0,1.0,0.0,0.0
raw_clean_s11,logistic_flip,161,1,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_flip,171,1,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_flip,173,1,0.0,0.0,0.0,0.0
raw_clean_s11,logistic_flip,174,1,0.0,0.0,0.0,0.0
raw_clean_s11,logistic_flip,183,2,1.0,0.5,0.0,0.0
raw_clean_s11,logistic_flip,190,1,0.0,0.0,0.0,0.0
raw_clean_s11,logistic_flip,191,4,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_flip,192,2,0.0,0.0,0.0,0.0
raw_clean_s11,logistic_flip,197,2,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_flip,208,2,1.0,0.0,0.0,0.5
raw_clean_s11,logistic_flip,229,3,0.0,0.0,0.0,0.0
raw_clean_s11,logistic_flip,230,1,0.0,0.0,0.0,0.0
raw_clean_s11,logistic_flip,233,7,0.2857142857142857,0.0,0.0,0.0
raw_clean_s11,logistic_flip,236,1,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_flip,237,2,0.0,0.0,0.0,0.0
raw_clean_s11,logistic_flip,244,1,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_flip,245,1,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_flip,246,6,0.5,0.0,0.0,0.0
raw_clean_s11,logistic_flip,271,1,0.0,0.0,0.0,0.0
raw_clean_s11,logistic_flip,272,5,0.4,0.0,0.0,0.0
raw_clean_s11,logistic_flip,275,1,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_flip,276,3,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_flip,285,3,0.0,0.0,0.0,0.0
raw_clean_s11,logistic_flip,286,1,1.0,0.0,1.0,1.0
raw_clean_s11,logistic_flip,288,2,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_flip,289,2,0.5,0.0,0.0,0.0
raw_clean_s11,logistic_flip,292,1,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_flip,295,1,1.0,0.0,0.0,0.0
raw_clean_s11,logistic_flip,302,2,0.0,0.0,0.0,0.0
raw_clean_s11,logistic_flip,304,3,0.6666666666666666,0.0,0.0,0.0
