seed,parent,t_star,min_margin_win,margin_slope,cost,max_slope,max_curv,trans_width,slope_asym,min_abs_logit,speed_conc,max_angle,hyper_dist,z_length,miss,abserr
11,45,0.837233,0.001384,0.088605,0.868862,136.350342,510.013672,0.0,3.209369,17.045122,0.078883,0.045447,5.269913,22.373377,1,nan
11,45,0.837233,0.001384,0.088604,0.868862,106.925537,228.966797,0.0,4.922211,20.304977,0.213093,0.005591,7.321054,22.631656,1,nan
11,144,0.891878,0.001695,-0.108479,1.30797,205.621094,812.309814,0.092308,25.089329,0.095863,0.068953,0.05582,0.50644,24.13451,0,0.081554
11,144,0.891878,0.001695,-0.108481,1.30797,169.953613,1145.344727,0.0,19.451837,1.632316,0.044274,0.130609,0.872903,23.624215,1,nan
11,36,0.820024,0.00275,-0.17602,0.785785,187.698242,1108.657349,0.061538,41.586503,3.14182,0.15936,0.030523,3.480078,37.357824,1,nan
11,36,0.820024,0.00275,-0.17602,0.785785,289.75,356.218262,0.046154,3.937514,1.727067,0.022184,0.178994,0.850136,38.823546,0,0.184319
11,314,0.927309,0.004703,-0.301004,1.945565,545.732422,6013.761963,0.015385,276.55529,0.696459,0.064699,2.706744,0.389821,100.605161,1,nan
11,314,0.927309,0.004703,-0.301005,1.945565,487.677734,7587.594238,0.0,280.810841,4.742902,0.056224,2.714523,1.481874,97.676599,1,nan
11,426,0.677576,0.001319,-0.084393,0.43862,49.143616,575.165527,0.092308,23.253808,2.612557,0.151769,0.169413,1.086072,7.92107,0,0.299454
11,426,0.677576,0.001319,-0.084393,0.43862,67.531982,402.487518,0.138462,8.946733,0.001173,0.078244,0.099776,0.200047,9.123038,0,0.068298
11,231,0.861925,0.001298,-0.083093,1.024251,257.460938,2174.787598,0.015385,88.515147,0.464489,0.083503,0.146023,2.551406,43.331041,0,0.09203
11,231,0.861925,0.001298,-0.083094,1.024251,320.329102,1272.898682,0.015385,13.705347,6.210576,0.035486,0.135602,2.27005,43.214539,0,0.168941
