seed,parent,t_star,t_theta,miss,abserr,angle_cos,width_k1,width_k2,woa
23,418,0.571324,0.568065,0,0.00326,0.644936,0.25,nan,0.387635
23,418,0.571324,0.691163,0,0.119839,0.390746,nan,nan,nan
23,383,0.794923,0.636283,0,0.15864,0.581498,0.125,0.242188,0.214962
23,383,0.794923,0.936452,0,0.141529,0.171042,nan,nan,nan
23,24,0.291892,nan,1,nan,nan,nan,nan,nan
23,24,0.291892,nan,1,nan,nan,nan,nan,nan
23,26,0.773213,nan,1,nan,nan,nan,nan,nan
23,26,0.773213,nan,1,nan,nan,nan,nan,nan
23,22,0.760018,nan,1,nan,nan,nan,nan,nan
23,22,0.760018,nan,1,nan,nan,nan,nan,nan
23,435,0.738137,0.744439,0,0.006302,0.466562,0.195312,0.351562,0.41862
23,435,0.738137,0.716586,0,0.021551,0.58206,0.179688,0.367188,0.30871
23,186,0.845468,0.837066,0,0.008402,0.521294,0.195312,nan,0.374668
23,186,0.845468,0.89948,0,0.054012,0.487445,0.203125,nan,0.416714
23,323,0.788871,0.879365,0,0.090494,0.554337,0.085938,0.164062,0.155028
23,323,0.788871,0.695067,0,0.093803,0.752586,0.078125,0.164062,0.103809
23,92,0.847531,0.761844,0,0.085688,0.485003,0.234375,nan,0.483244
23,92,0.847531,0.935031,0,0.0875,0.386983,nan,nan,nan
23,15,0.503232,nan,1,nan,nan,nan,nan,nan
23,15,0.503232,0.780768,0,0.277536,0.652204,0.234375,nan,0.359358
23,70,0.774659,nan,1,nan,nan,nan,nan,nan
23,70,0.774659,0.993842,0,0.219183,0.551474,nan,nan,nan
23,359,0.676898,nan,1,nan,nan,nan,nan,nan
23,359,0.676898,nan,1,nan,nan,nan,nan,nan
23,366,0.713847,0.849711,0,0.135864,0.464873,nan,nan,nan
23,366,0.713847,0.658412,0,0.055435,0.530729,0.25,nan,0.47105
23,77,0.824351,0.633428,0,0.190924,0.65446,0.242188,nan,0.370058
23,77,0.824351,0.846028,0,0.021677,0.384948,0.414062,nan,1.075631
23,107,0.393392,nan,1,nan,nan,nan,nan,nan
23,107,0.393392,nan,1,nan,nan,nan,nan,nan
23,440,0.811349,0.709468,0,0.101881,0.638692,0.109375,0.21875,0.171248
23,440,0.811349,0.480989,0,0.33036,0.75581,0.101562,0.1875,0.134375
23,502,0.510468,0.733644,0,0.223175,0.554513,0.148438,0.367188,0.267691
23,502,0.510468,0.741549,0,0.231081,0.536391,0.140625,0.320312,0.262169
23,411,0.75611,nan,1,nan,nan,nan,nan,nan
23,411,0.75611,nan,1,nan,nan,nan,nan,nan
23,456,0.849549,0.841384,0,0.008165,0.532542,0.039062,0.070312,0.07335
23,456,0.849549,0.674224,0,0.175325,0.426679,0.054688,0.09375,0.128171
23,150,0.866984,0.50352,0,0.363464,0.703238,0.125,nan,0.177749
23,150,0.866984,0.720225,0,0.146759,0.13997,nan,nan,nan
23,96,0.532439,0.623147,0,0.090708,0.797134,0.414062,nan,0.519438
23,96,0.532439,nan,1,nan,nan,nan,nan,nan
23,39,0.475543,0.735774,0,0.260231,0.395046,nan,nan,nan
23,39,0.475543,nan,1,nan,nan,nan,nan,nan
23,209,0.793553,0.765256,0,0.028297,0.577738,0.164062,0.34375,0.283973
23,209,0.793553,0.710523,0,0.083031,0.441683,0.21875,0.429688,0.495265
23,264,0.423705,0.50682,0,0.083115,0.472387,0.296875,0.570312,0.628457
23,264,0.423705,0.380919,0,0.042786,0.626266,0.210938,0.414062,0.336819
23,415,0.884988,nan,1,nan,nan,nan,nan,nan
23,415,0.884988,0.938901,0,0.053913,0.522968,0.085938,nan,0.164327
23,10,0.411525,nan,1,nan,nan,nan,nan,nan
23,10,0.411525,nan,1,nan,nan,nan,nan,nan
23,222,0.860066,nan,1,nan,nan,nan,nan,nan
23,222,0.860066,0.943343,0,0.083277,0.508353,0.039062,0.078125,0.07684
23,283,0.353023,nan,1,nan,nan,nan,nan,nan
23,283,0.353023,nan,1,nan,nan,nan,nan,nan
23,37,0.540246,nan,1,nan,nan,nan,nan,nan
23,37,0.540246,0.808913,0,0.268667,0.548884,nan,nan,nan
23,241,0.487926,nan,1,nan,nan,nan,nan,nan
23,241,0.487926,nan,1,nan,nan,nan,nan,nan
23,413,0.70297,0.464538,0,0.238432,0.483652,0.1875,0.375,0.387675
23,413,0.70297,0.638812,0,0.064157,0.342552,0.289062,0.601562,0.843849
23,451,0.900474,0.83422,0,0.066254,0.672901,0.0625,0.109375,0.092881
23,451,0.900474,0.822152,0,0.078321,0.682761,0.03125,0.0625,0.04577
23,223,0.879014,nan,1,nan,nan,nan,nan,nan
23,223,0.879014,nan,1,nan,nan,nan,nan,nan
23,91,0.727876,nan,1,nan,nan,nan,nan,nan
23,91,0.727876,nan,1,nan,nan,nan,nan,nan
23,220,0.801011,0.957938,0,0.156927,0.601651,0.070312,nan,0.116865
23,220,0.801011,nan,1,nan,nan,nan,nan,nan
23,450,0.916118,0.992274,0,0.076157,0.480958,nan,nan,nan
23,450,0.916118,0.956855,0,0.040737,0.625856,0.023438,0.046875,0.03745
23,67,0.709018,0.701165,0,0.007853,0.687885,0.148438,0.359375,0.215789
23,67,0.709018,0.718394,0,0.009377,0.678457,0.164062,0.304688,0.241816
23,127,0.621352,0.607413,0,0.013939,0.530333,0.453125,nan,0.854416
23,127,0.621352,0.455159,0,0.166193,0.701608,0.265625,0.53125,0.378595
23,45,0.837234,nan,1,nan,nan,nan,nan,nan
23,45,0.837234,nan,1,nan,nan,nan,nan,nan
23,144,0.891877,nan,1,nan,nan,nan,nan,nan
23,144,0.891877,0.712081,0,0.179796,0.581907,0.273438,nan,0.4699
23,36,0.820025,nan,1,nan,nan,nan,nan,nan
23,36,0.820025,0.830869,0,0.010843,0.26253,0.195312,nan,0.743961
23,314,0.92731,nan,1,nan,nan,nan,nan,nan
23,314,0.92731,0.810493,0,0.116817,0.565406,0.03125,0.070312,0.05527
23,426,0.677577,0.851907,0,0.17433,0.613034,0.171875,nan,0.280368
23,426,0.677577,0.81298,0,0.135403,0.626771,0.164062,0.3125,0.261757
23,231,0.861926,0.698808,0,0.163118,0.536037,0.101562,0.203125,0.189468
23,231,0.861926,0.559302,0,0.302624,0.734942,0.070312,0.148438,0.09567
23,99,0.503465,nan,1,nan,nan,nan,nan,nan
23,99,0.503465,nan,1,nan,nan,nan,nan,nan
23,482,0.781255,0.658017,0,0.123238,0.473177,0.085938,0.289062,0.181619
23,482,0.781255,0.552758,0,0.228497,0.492013,0.0625,0.117188,0.127029
23,474,0.74602,nan,1,nan,nan,nan,nan,nan
