contrast,family,quantity,stratum,seed,n_rows,n_parents,value_row,value_parent,ci_lo,ci_hi,boot,terms
B_lowstride_pretrained_flip minus A_lowstride_pretrained_flip,paired_contrast,B_state2,all,803,178,85,0.05618,0.068627,0.023529,0.123529,4000,+1*B_lowstride_pretrained_flip -1*A_lowstride_pretrained_flip
B_lowstride_pretrained_flip minus A_lowstride_pretrained_flip,paired_contrast,B_state2,all,805,178,85,0.078652,0.094118,0.043137,0.156863,4000,+1*B_lowstride_pretrained_flip -1*A_lowstride_pretrained_flip
B_lowstride_pretrained_flip minus A_lowstride_pretrained_flip,paired_contrast,B_state2,all,806,178,85,0.073034,0.066667,0.018627,0.120588,4000,+1*B_lowstride_pretrained_flip -1*A_lowstride_pretrained_flip
B_lowstride_pretrained_flip minus A_lowstride_pretrained_flip,paired_contrast,B_state2,all,cross_seed_mean,178,85,0.069288,0.076471,0.035621,0.124183,4000,+1*B_lowstride_pretrained_flip -1*A_lowstride_pretrained_flip
B_lowstride_pretrained_flip minus A_lowstride_pretrained_flip,paired_contrast,AB_state3,all,803,178,85,0.123596,0.137255,0.072549,0.206863,4000,+1*B_lowstride_pretrained_flip -1*A_lowstride_pretrained_flip
B_lowstride_pretrained_flip minus A_lowstride_pretrained_flip,paired_contrast,AB_state3,all,805,178,85,0.073034,0.071569,0.022549,0.129412,4000,+1*B_lowstride_pretrained_flip -1*A_lowstride_pretrained_flip
B_lowstride_pretrained_flip minus A_lowstride_pretrained_flip,paired_contrast,AB_state3,all,806,178,85,0.089888,0.1,0.034314,0.170588,4000,+1*B_lowstride_pretrained_flip -1*A_lowstride_pretrained_flip
B_lowstride_pretrained_flip minus A_lowstride_pretrained_flip,paired_contrast,AB_state3,all,cross_seed_mean,178,85,0.095506,0.102941,0.056209,0.153276,4000,+1*B_lowstride_pretrained_flip -1*A_lowstride_pretrained_flip
B_lowstride_pretrained_flip minus A_lowstride_pretrained_flip,paired_contrast,CCM,all,803,178,85,0.136911,,0.068128,0.213829,4000,+1*B_lowstride_pretrained_flip -1*A_lowstride_pretrained_flip
B_lowstride_pretrained_flip minus A_lowstride_pretrained_flip,paired_contrast,CCM,all,805,178,85,0.083373,,0.022466,0.155087,4000,+1*B_lowstride_pretrained_flip -1*A_lowstride_pretrained_flip
B_lowstride_pretrained_flip minus A_lowstride_pretrained_flip,paired_contrast,CCM,all,806,178,85,0.112892,,0.046373,0.187247,4000,+1*B_lowstride_pretrained_flip -1*A_lowstride_pretrained_flip
B_lowstride_pretrained_flip minus A_lowstride_pretrained_flip,paired_contrast,CCM,all,cross_seed_mean,178,85,0.111059,,,,4000,+1*B_lowstride_pretrained_flip -1*A_lowstride_pretrained_flip
B_lowstride_pretrained_flip minus A_lowstride_pretrained_flip,paired_contrast,J,small_edit,803,5,3,0.2,0.166667,0.0,0.5,4000,+1*B_lowstride_pretrained_flip -1*A_lowstride_pretrained_flip
B_lowstride_pretrained_flip minus A_lowstride_pretrained_flip,paired_contrast,J,small_edit,805,5,3,0.4,0.333333,0.0,1.0,4000,+1*B_lowstride_pretrained_flip -1*A_lowstride_pretrained_flip
B_lowstride_pretrained_flip minus A_lowstride_pretrained_flip,paired_contrast,J,small_edit,806,5,3,0.2,0.166667,0.0,0.5,4000,+1*B_lowstride_pretrained_flip -1*A_lowstride_pretrained_flip
B_lowstride_pretrained_flip minus A_lowstride_pretrained_flip,paired_contrast,J,small_edit,cross_seed_mean,5,3,0.266667,0.222222,0.0,0.666667,4000,+1*B_lowstride_pretrained_flip -1*A_lowstride_pretrained_flip
B_lowstride_pretrained_flip minus A_lowstride_pretrained_flip,paired_contrast,atomic_joint,small_edit,803,5,3,0.0,0.0,0.0,0.0,4000,+1*B_lowstride_pretrained_flip -1*A_lowstride_pretrained_flip
B_lowstride_pretrained_flip minus A_lowstride_pretrained_flip,paired_contrast,atomic_joint,small_edit,805,5,3,0.4,0.333333,0.0,1.0,4000,+1*B_lowstride_pretrained_flip -1*A_lowstride_pretrained_flip
B_lowstride_pretrained_flip minus A_lowstride_pretrained_flip,paired_contrast,atomic_joint,small_edit,806,5,3,0.2,0.166667,0.0,0.5,4000,+1*B_lowstride_pretrained_flip -1*A_lowstride_pretrained_flip
B_lowstride_pretrained_flip minus A_lowstride_pretrained_flip,paired_contrast,atomic_joint,small_edit,cross_seed_mean,5,3,0.2,0.166667,0.0,0.5,4000,+1*B_lowstride_pretrained_flip -1*A_lowstride_pretrained_flip
B_lowstride_pretrained_flip minus A_lowstride_pretrained_flip,paired_contrast,P_state0,small_edit,803,5,3,0.0,0.0,0.0,0.0,4000,+1*B_lowstride_pretrained_flip -1*A_lowstride_pretrained_flip
B_lowstride_pretrained_flip minus A_lowstride_pretrained_flip,paired_contrast,P_state0,small_edit,805,5,3,0.0,0.0,0.0,0.0,4000,+1*B_lowstride_pretrained_flip -1*A_lowstride_pretrained_flip
B_lowstride_pretrained_flip minus A_lowstride_pretrained_flip,paired_contrast,P_state0,small_edit,806,5,3,0.0,0.0,0.0,0.0,4000,+1*B_lowstride_pretrained_flip -1*A_lowstride_pretrained_flip
B_lowstride_pretrained_flip minus A_lowstride_pretrained_flip,paired_contrast,P_state0,small_edit,cross_seed_mean,5,3,0.0,0.0,0.0,0.0,4000,+1*B_lowstride_pretrained_flip -1*A_lowstride_pretrained_flip
B_lowstride_pretrained_flip minus A_lowstride_pretrained_flip,paired_contrast,A_state1,small_edit,803,5,3,0.0,0.0,0.0,0.0,4000,+1*B_lowstride_pretrained_flip -1*A_lowstride_pretrained_flip
B_lowstride_pretrained_flip minus A_lowstride_pretrained_flip,paired_contrast,A_state1,small_edit,805,5,3,0.2,0.166667,0.0,0.5,4000,+1*B_lowstride_pretrained_flip -1*A_lowstride_pretrained_flip
B_lowstride_pretrained_flip minus A_lowstride_pretrained_flip,paired_contrast,A_state1,small_edit,806,5,3,0.2,0.166667,0.0,0.5,4000,+1*B_lowstride_pretrained_flip -1*A_lowstride_pretrained_flip
B_lowstride_pretrained_flip minus A_lowstride_pretrained_flip,paired_contrast,A_state1,small_edit,cross_seed_mean,5,3,0.133333,0.111111,0.0,0.333333,4000,+1*B_lowstride_pretrained_flip -1*A_lowstride_pretrained_flip
B_lowstride_pretrained_flip minus A_lowstride_pretrained_flip,paired_contrast,B_state2,small_edit,803,5,3,0.0,0.0,0.0,0.0,4000,+1*B_lowstride_pretrained_flip -1*A_lowstride_pretrained_flip
B_lowstride_pretrained_flip minus A_lowstride_pretrained_flip,paired_contrast,B_state2,small_edit,805,5,3,0.4,0.333333,0.0,1.0,4000,+1*B_lowstride_pretrained_flip -1*A_lowstride_pretrained_flip
